date,open,high,low,close,volume,symbol,daily_return,log_return,cumulative_return,price_change,hl_range,avg_price,volume_change,rolling_mean_20,rolling_std_20,rolling_volume_20
2020-01-02 00:00:00-05:00,93.75,94.90049743652344,93.2074966430664,94.90049743652344,80580000,AMZN,,,,,1.6930007934570312,94.33616383870442,,,,
2020-01-03 00:00:00-05:00,93.2249984741211,94.30999755859375,93.2249984741211,93.74849700927734,75288000,AMZN,-0.012139034655920922,-0.012213314472679244,-0.012139034655920922,-1.1520004272460938,1.0849990844726562,93.76116434733073,-0.0656738644825019,,,
2020-01-06 00:00:00-05:00,93.0,95.18450164794922,93.0,95.14399719238281,81236000,AMZN,0.01488557393050649,0.014775871094842,0.0025658427767698555,1.3955001831054688,2.1845016479492188,94.44283294677734,0.07900329401763884,,,
2020-01-07 00:00:00-05:00,95.2249984741211,95.69450378417969,94.60199737548828,95.34300231933594,80898000,AMZN,0.0020916204156393725,0.002089436023074214,0.004662829961544546,0.199005126953125,1.0925064086914062,95.21316782633464,-0.004160716923531482,,,
2020-01-08 00:00:00-05:00,94.9020004272461,95.55000305175781,94.3219985961914,94.59850311279297,70160000,AMZN,-0.007808640261289357,-0.007839287338238396,-0.003182220661514079,-0.7444992065429688,1.2280044555664062,94.82350158691406,-0.1327350490741428,,,
2020-01-09 00:00:00-05:00,95.49449920654297,95.89099884033203,94.79000091552734,95.05249786376953,63346000,AMZN,0.0047991747864684076,0.0047876954600311996,0.0016016820917905683,0.4539947509765625,1.1009979248046875,95.24449920654297,-0.09712086659064989,,,
2020-01-10 00:00:00-05:00,95.26850128173828,95.34700012207031,94.0,94.15799713134766,57074000,AMZN,-0.009410596802031268,-0.009455156242405702,-0.00782398749461155,-0.894500732421875,1.3470001220703125,94.50166575113933,-0.09901177659204996,,,
2020-01-13 00:00:00-05:00,94.56549835205078,94.9000015258789,94.04000091552734,94.56500244140625,55616000,AMZN,0.004322578245699482,0.0043132627393767525,-0.0035352290470509473,0.40700531005859375,0.8600006103515625,94.50166829427083,-0.025545782668115025,,,
2020-01-14 00:00:00-05:00,94.29399871826172,94.35549926757812,92.92749786376953,93.47200012207031,68818000,AMZN,-0.011558211718052602,-0.011625527046359843,-0.015052579839305968,-1.0930023193359375,1.4280014038085938,93.58499908447266,0.23737773302646725,,,
2020-01-15 00:00:00-05:00,93.61250305175781,93.94300079345703,92.75450134277344,93.10099792480469,57932000,AMZN,-0.003969126548924895,-0.003977024437111101,-0.01896196079396084,-0.371002197265625,1.1884994506835938,93.26616668701172,-0.1581853584817926,,,
