date,open,high,low,close,volume,symbol,daily_return,log_return,cumulative_return,price_change,hl_range,avg_price,volume_change,rolling_mean_20,rolling_std_20,rolling_volume_20,sma_10,sma_20,sma_50,sma_200,ema_10,ema_20,ema_50,rsi_14,macd_line,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,bb_bandwidth,bb_percent_b,atr_14,stoch_k,stoch_d,vwap,sma_position,sma_signal,rsi_signal,macd_position,macd_trade_signal,bb_signal,combined_buy_score,combined_sell_score,combined_signal
2020-01-02 00:00:00-05:00,296.4802235866316,297.71731977517936,295.5546875996484,297.698974609375,59151200,SPY,,,,,2.162632175530973,296.9903273280676,,,,,,,,,297.698974609375,297.698974609375,297.698974609375,,0.0,0.0,0.0,,,,,,,,,296.9903273280676,0,0,0,0,0,0,0,0,0
2020-01-03 00:00:00-05:00,294.29921759610926,296.57180846852066,294.2442380396561,295.4446716308594,77709700,SPY,-0.007572424397744748,-0.007601240768739673,-0.007572424397744748,-2.254302978515625,2.327570428864533,295.4202393796787,0.3137468047985501,,,,,,,,297.28910134055394,297.4842790876116,297.61057057100186,,-0.17983043703259227,-0.03596608740651846,-0.1438643496260738,,,,,,,,,296.09883046195813,0,0,0,0,0,0,0,1,0
2020-01-06 00:00:00-05:00,293.68527154806566,296.65430772190325,293.5661398420069,296.57183837890625,55653900,SPY,0.003815153415442918,0.0038078941752032174,-0.0037861609431060206,1.127166748046875,3.088167879896332,295.59742864760545,-0.2838229976437948,,,,,,,,297.1586898929816,297.39737997249676,297.5698359752334,,-0.22875744412812082,-0.07452435875083893,-0.1542330853772819,,,,,,,,,295.9538807415429,0,0,0,0,0,0,0,1,0
2020-01-07 00:00:00-05:00,296.0036707856056,296.48019761170144,295.2889085116511,295.7379455566406,40496400,SPY,-0.0028117734536892147,-0.002815733914354243,-0.006587288569964045,-0.833892822265625,1.1912891000503691,295.835683893331,-0.2723528809301774,,,,,,,,296.9003727409196,297.2393385995581,297.4979971352886,,-0.33100501164432217,-0.12582048932953557,-0.2051845223147866,,,,,,,,,295.933338609474,0,0,0,0,0,0,0,1,0
2020-01-08 00:00:00-05:00,295.93030861694496,298.53277652550156,295.68290064167064,297.31402587890625,68296000,SPY,0.005329313826465842,0.0053151632863835604,-0.0012930804715530764,1.576080322265625,2.8498758838309186,297.17656768202613,0.6864708961784258,,,,,,,,296.9755824023717,297.24645167378173,297.49078257621477,,-0.28161416263270667,-0.1569792239901698,-0.12463493864253686,,,,,,,,,296.2151359669186,0,0,0,0,0,0,0,1,0
2020-01-09 00:00:00-05:00,298.88109951100057,299.4034333774434,298.29461349284884,299.3301086425781,48473300,SPY,0.00678098773750091,0.006758100248418141,0.005479138903126568,2.016082763671875,1.1088198845945385,299.0093851709568,-0.29024686658076604,,,,,,,,297.4036780824092,297.4448951946195,297.5629130101898,,-0.07888123524946877,-0.1413596262420296,0.062478390992560834,,,,,,,,,296.60236875989045,0,0,0,1,1,0,1,0,0
2020-01-10 00:00:00-05:00,299.9165893357821,300.07235545551816,298.0013931580216,298.4687194824219,53029300,SPY,-0.0028777230732401904,-0.0028818716792210126,0.0025856483854433954,-0.86138916015625,2.0709622974965782,298.84748936532054,0.09398988721626123,,,,,,,,297.5973219733206,297.5424022696483,297.5984348326303,,0.012139230525519906,-0.1106598548885197,0.12279908541403961,,,,,,,,,296.8979354867216,0,0,0,1,0,0,1,0,0
2020-01-13 00:00:00-05:00,299.0918985059818,300.5305679585822,298.6612065390366,300.52142333984375,47086800,SPY,0.0068774505448392365,0.006853908758519186,0.009480881599179813,2.052703857421875,1.869361419545612,299.9043992791542,-0.11206069097649785,,,,,,,,298.1289767672339,297.82611856204784,297.7130618329132,,0.24706167831425319,-0.039115548247965135,0.28617722656221833,,,,,,,,,297.2125961427513,0,0,0,1,0,0,1,0,0
2020-01-14 00:00:00-05:00,300.0814885851053,301.13530077869376,299.50417523626254,300.06317138671875,62832800,SPY,-0.00152485619172249,-0.001526019968136777,0.007941568426447887,-0.458251953125,1.6311255424312208,300.23421580055833,0.33440369700213224,,,,,,,,298.4806485162311,298.03917121201647,297.80522299188596,,0.3917464980895602,0.04705686101953993,0.34468963707002026,,,,,,,,,297.58288273765896,0,0,0,1,0,0,1,0,0
2020-01-15 00:00:00-05:00,299.9715301608084,301.50184120269535,299.88906082009487,300.74127197265625,72056600,SPY,0.002259859424946109,0.002257309783134721,0.010219374679651283,0.6781005859375,1.6127803826004765,300.7107246651488,0.14679912402439488,,,,298.1892150878906,,,,298.8916709628538,298.2965141416012,297.92036216760243,,0.554732697098359,0.14859202823530376,0.4061406688630553,,,,,,,,,297.96829151049616,0,0,0,1,0,0,1,0,0
2020-01-16 00:00:00-05:00,302.1250773288596,303.2430419921875,301.89598643854816,303.2430419921875,54050300,SPY,0.008318678720487416,0.008284269208739696,0.01862306509482292,2.50177001953125,1.3470555536393363,302.7940234743077,-0.2498910578628467,,,,298.7436218261719,,,,299.68282933182354,298.76761203213323,298.129094709743,,0.8756780944941056,0.29400924148706414,0.5816688530070415,,,,,,,,,298.37658430845335,0,0,0,1,0,0,1,0,0
2020-01-17 00:00:00-05:00,303.9577682678192,304.3976048271327,303.17885374044386,304.1868591308594,95846000,SPY,0.003112411524668124,0.003107577998603205,0.02179343926191679,0.943817138671875,1.218751086688826,303.9211058994786,0.7732741538899877,,,,299.6178405761719,,,,300.50174384073915,299.2837308034405,298.3666540988064,,1.1924420597039784,0.473695805130447,0.7187462545735315,,,,,,,,,299.0999176682109,0,0,0,1,0,0,1,0,0
